Param Counts,Max Valid Scores,Train Acc 1,Train Acc 5,Val Acc 5
11952168,70.386,68.5691248681717,87.0646059412424,89.48
12214824,71.328,70.26453225847996,88.02740001882948,90.044
12477480,71.728,70.92478966439336,88.40986381941129,90.18
12740136,71.76,71.19563647828966,88.5356866044488,90.23
13002792,71.928,71.38913193980466,88.66954893462265,90.424
13265448,72.114,72.57609663686456,89.36032539077553,90.456
