Param Counts,Max Valid Scores,train loss,val perplexity/100
2966544,4.522328020299523,4.145491248934473,0.9204964216740664
3364368,4.509776838058352,4.059890862511228,0.9090153048481439
3769104,4.496040906610722,4.006103411029648,0.8966144962414688
4178448,4.488941389049472,3.969612098787965,0.8902715085980044
4592400,4.484767011729755,3.9332657158145006,0.886562925302423
5010960,4.479842814702542,3.9027441178456397,0.8822080457234042
5434128,4.469564836002091,3.8849901684266195,0.8731871678268165
5861904,4.4583314508957494,3.8202738918151504,0.8634332076660443
6294288,4.454595648906213,3.899578078857457,0.8602136098055092
6731280,4.446226372632835,3.8947981433309584,0.8530442873189746
7172880,4.445502420294026,3.887566617937757,0.8524269474013633
