Epochs,Normal Epoch Times,PAI Epoch Times
0,7.358936548233032,
1,3.175442695617676,
2,3.62567400932312,
3,3.406342029571533,
4,3.6243183612823486,
5,3.328643798828125,
6,3.3730387687683105,
7,3.7688732147216797,
8,3.5940427780151367,
9,3.7151567935943604,
10,3.695507049560547,
11,3.5562260150909424,
12,3.020303726196289,
13,3.516519069671631,
14,2.9899232387542725,
15,3.313594102859497,
16,3.085120677947998,
17,3.134554147720337,
18,3.4736082553863525,
19,3.584599494934082,
20,3.860773801803589,
21,4.512261629104614,
22,3.9949190616607666,
23,4.02771258354187,
24,5.25199556350708,
25,5.172694206237793,
26,4.821228265762329,
27,5.259278297424316,
28,5.307164192199707,
29,6.938719034194946,
30,6.795608997344971,
31,6.794343948364258,
32,6.26900839805603,
33,6.030318737030029,
34,6.41564154624939,
35,6.564725637435913,
36,8.563294887542725,
37,7.509576082229614,
38,7.636943101882935,
39,6.652989864349365,
40,6.863516092300415,
41,6.546087265014648,
42,6.118014574050903,
43,5.757290840148926,
