Epochs,Normal Epoch Times,PAI Epoch Times
0,7.358936548233032,
1,3.175442695617676,
2,3.62567400932312,
3,3.406342029571533,
4,3.6243183612823486,
5,3.328643798828125,
6,3.3730387687683105,
7,3.7688732147216797,
8,3.5940427780151367,
9,3.7151567935943604,
10,3.695507049560547,
11,3.5562260150909424,
12,3.020303726196289,
13,3.516519069671631,
14,2.9899232387542725,
15,3.313594102859497,
16,3.085120677947998,
17,3.134554147720337,
18,3.4736082553863525,
19,3.2023541927337646,
20,3.072514772415161,
21,3.288452386856079,
22,3.286949634552002,
23,3.0533063411712646,
24,3.0000226497650146,
25,3.1248435974121094,
26,3.0910234451293945,
27,3.086998701095581,
28,3.116488218307495,
